Price,ZAR
Ticker,USDZAR=X
Date,
2011-09-23,8.402999877929688
2011-09-26,8.069999694824219
2011-09-27,8.02929973602295
2011-09-28,7.86359977722168
2011-09-29,7.9070000648498535
2011-09-30,7.9770002365112305
2011-10-03,8.08899974822998
2011-10-04,8.283699989318848
2011-10-05,8.08080005645752
2011-10-06,7.970300197601318
2011-10-07,7.9070000648498535
2011-10-10,7.952000141143799
2011-10-11,7.831900119781494
2011-10-12,7.908999919891357
2011-10-13,7.813499927520752
2011-10-14,7.880199909210205
2011-10-17,7.817500114440918
2011-10-18,7.960999965667725
2011-10-19,7.953000068664551
2011-10-20,8.020999908447266
2011-10-21,8.125
2011-10-24,8.04699993133545
2011-10-25,7.858799934387207
2011-10-26,7.913899898529053
2011-10-27,7.922999858856201
2011-10-28,7.692999839782715
2011-10-31,7.704999923706055
2011-11-01,7.933000087738037
2011-11-02,8.083000183105469
2011-11-03,8.007499694824219
2011-11-04,7.829999923706055
2011-11-07,7.86899995803833
2011-11-08,7.926599979400635
2011-11-09,7.817800045013428
2011-11-10,8.044300079345703
2011-11-11,7.967100143432617
2011-11-14,7.87470006942749
2011-11-15,7.999800205230713
2011-11-16,8.151000022888184
2011-11-17,8.188501358032227
2011-11-18,8.190999984741211
2011-11-21,8.161999702453613
2011-11-22,8.305000305175781
2011-11-23,8.387200355529785
2011-11-24,8.576299667358398
2011-11-25,8.484700202941895
2011-11-28,8.471599578857422
2011-11-29,8.372300148010254
2011-11-30,8.312999725341797
2011-12-01,8.120599746704102
2011-12-02,8.077300071716309
2011-12-05,7.99429988861084
2011-12-06,8.026399612426758
2011-12-07,8.012800216674805
2011-12-08,8.010600090026855
2011-12-09,8.206999778747559
2011-12-12,8.085000038146973
2011-12-13,8.278499603271484
2011-12-14,8.36359977722168
2011-12-15,8.420999526977539
2011-12-16,8.369000434875488
2011-12-19,8.376299858093262
2011-12-20,8.378499984741211
2011-12-21,8.192000389099121
2011-12-22,8.229999542236328
2011-12-23,8.178600311279297
2011-12-26,8.141200065612793
2011-12-27,8.141599655151367
2011-12-28,8.131099700927734
2011-12-29,8.191800117492676
2011-12-30,8.154000282287598
2012-01-02,8.068400382995605
2012-01-03,8.068599700927734
2012-01-04,8.05270004272461
2012-01-05,8.131199836730957
2012-01-06,8.182100296020508
2012-01-09,8.178000450134277
2012-01-10,8.160099983215332
2012-01-11,8.10420036315918
2012-01-12,8.086899757385254
2012-01-13,8.051300048828125
2012-01-16,8.156000137329102
2012-01-17,8.093700408935547
2012-01-18,8.028200149536133
2012-01-19,7.952499866485596
2012-01-20,7.906000137329102
2012-01-23,7.950099945068359
2012-01-24,7.93179988861084
2012-01-25,7.9496002197265625
2012-01-26,7.871799945831299
2012-01-27,7.816800117492676
2012-01-30,7.7434000968933105
2012-01-31,7.828199863433838
2012-02-01,7.791800022125244
2012-02-02,7.6620001792907715
2012-02-03,7.637599945068359
2012-02-06,7.540800094604492
2012-02-07,7.540309906005859
2012-02-08,7.5578999519348145
2012-02-09,7.558300018310547
2012-02-10,7.5802998542785645
2012-02-13,7.664299964904785
2012-02-14,7.698299884796143
2012-02-15,7.715700149536133
2012-02-16,7.7617998123168945
2012-02-17,7.764100074768066
2012-02-20,7.6717000007629395
2012-02-21,7.686500072479248
2012-02-22,7.732699871063232
2012-02-23,7.711100101470947
2012-02-24,7.65369987487793
2012-02-27,7.577600002288818
2012-02-28,7.551700115203857
2012-02-29,7.481299877166748
2012-03-01,7.474899768829346
2012-03-02,7.436800003051758
2012-03-05,7.508299827575684
